Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
bonaire-evaporative-cooler-filcel-pads-model-vsm-60-65-integra-medium-cabinet-85mm-thick,Bonaire Evaporative Cooler FILCEL Pads Model VSM 60|65 Integra Medium Cabinet 85mm Thick,"<p> </p>
<p><strong>Bonaire Evaporative Cooler FILCEL Pads Model VSM 60|65 Integra Medium Cabinet | 85mm Thick</strong></p>
<p>plumbonline's genuine FILCEL™ Australian owned &amp; made pads come ready to install with fixing pins, standard, rebated, or channel water distribution panels as needed. All you have to do is select the correct make &amp; model of your evaporative cooler, select ""Click &amp; Collect"" OR ""Fixed Delivery"" and we will do the rest!</p>
<p><strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of Bonaire Filter Pads Suits VSM 60|65</li>
<li>Integra Medium Cabinet </li>
<li>85mm Thick </li>
<li>Size 755 x 487 x 85mm</li>
<li>Supplied with fixing pins &amp; washers</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatment</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,"",5700.0,shopify,24,deny,manual,220.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-16at10.08.25AM_226f0207-7f39-41d2-a5aa-925f3b89172c.png?v=1715818887,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
brivis-evaporative-cooler-filcel-pads-model-contour-l63-pn-81008773,Brivis Evaporative Cooler FILCEL Pads Model Contour L63 PN. 81008773,"<p> </p>
<p><strong>Brivis Evaporative Cooler FILCEL Pads Model Contour L63 PN. 81008773</strong></p>
<p>plumbonline's genuine FILCEL™ Australian owned &amp; made pads come ready to install with fixing pins, standard, rebated, or channel water distribution panels as needed. All you have to do is select the correct make &amp; model of your evaporative cooler, select ""Click &amp; Collect"" OR ""Fixed Delivery"" and we will do the rest!</p>
<p><strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of Brivis Filter Pads Suits Contour L63</li>
<li>Front pad (largest) 847 x 618 x 130mm</li>
<li>Part No. Brivis/Rinnai B008773 / 81008773</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatment</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,"",9400.0,shopify,16,deny,manual,260.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-16at10.23.04AM.png?v=1717556425,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
braemar-evaporative-cooler-filcel-pads-model-lcb-550-pn-114606,Braemar Evaporative Cooler FILCEL Pads Model LCB 550 PN. 114606,"<p> </p>
<p><strong>Braemar Evaporative Cooler FILCEL Pads Model LCB 550 PN. 114606</strong></p>
<p>plumbonline's genuine FILCEL™ Australian owned &amp; made pads come ready to install with fixing pins, standard, rebated, or channel water distribution panels as needed. All you have to do is select the correct make &amp; model of your evaporative cooler, select ""Click &amp; Collect"" OR ""Fixed Delivery"" and we will do the rest!</p>
<p><strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of Braemar Filter Pads Suits LCB 550</li>
<li>Size 853 x 526 x 90mm</li>
<li>Seeley PN. 114606</li>
<li>Supplied with fixing pins &amp; washers</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatment</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,"",7800.0,shopify,33,deny,manual,210.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-09at1.10.42PM.png?v=1715818414,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
breezair-evaporative-cooler-filcel-pads-model-exh-190,Breezair Evaporative Cooler FILCEL Pads Model EXH 190,"<p> B<strong>reezair Evaporative Cooler FILCEL Pads Model EXH 190 PN. 114613</strong></p>
<p>plumbonline's genuine FILCEL™ Australian owned &amp; made pads come ready to install with fixing pins, standard, rebated, or channel water distribution panels as needed. All you have to do is select the correct make &amp; model of your evaporative cooler, select ""Click &amp; Collect"" OR ""Fixed Delivery"" and we will do the rest!</p>
<p><strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of Breezair Filter Pads Suits EXH 190</li>
<li>Size 800 x 635 x 90mm</li>
<li>Seeley PN. 114613</li>
<li>Supplied with fixing pins &amp; washers</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatment</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Home & Garden,"","",true,Title,Default Title,,,,,COL30012,8900.0,shopify,55,deny,manual,200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-16at10.08.25AM_226f0207-7f39-41d2-a5aa-925f3b89172c.png?v=1715818887,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
coolair-cooling-pads,Coolair Evaporative Cooler FILCEL Pads Model CPL 850 90mm Thick PN. 114606,"<p><strong>Coolair Evaporative Cooler FILCEL Pads Model CPL 850 90mm Thick PN. 114606</strong></p>
<p>plumbonline's genuine FILCEL™ Australian owned &amp; made pads come ready to install with fixing pins, standard, rebated, or channel water distribution panels as needed. All you have to do is select the correct make &amp; model of your evaporative cooler, select ""Click &amp; Collect"" OR ""Fixed Delivery"" and we will do the rest!</p>
<p><strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of Coolair Filter Pads Suits CPL 850 90mm Thick</li>
<li>Size 847 x 526 x 90mm</li>
<li>Seeley PN. 114606</li>
<li>Supplied with fixing pins &amp; washers</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatment</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,COL40012,7000.0,shopify,30,continue,manual,177.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-09at1.10.42PM_380848bb-f98f-43b3-917d-6c4ab2e77da8.png?v=1715818504,1,"",false,,,,,,,,,,,,,,,kg,,33.00,true,,,true,,,active
surprise-item,Surprise item,"<p>this is just 0.5 dollar. For test only</p>
<!---->",Evaporative Cooler Cooling pads,,"","",true,Title,Default Title,,,,,SUP0001,100.0,shopify,10,deny,manual,0.50,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/e40effbd-a13d-46e6-b64d-555e2032aa39.jpg?v=1715131388,1,"",false,,,,,,,,,,,,,,,kg,,0.50,true,,,true,,,active
brivis-evaporative-cooler-filcel-pads-model-contour-l50,Brivis Evaporative Cooler FILCEL Pads Model Contour L53 PN. 81008327,"<p><strong>Brivis Evaporative Cooler FILCEL Pads Model Contour L53 PN. 81008327</strong></p>
<p>plumbonline's genuine FILCEL™ Australian owned &amp; made pads come ready to install with fixing pins, standard, rebated, or channel water distribution panels as needed. All you have to do is select the correct make &amp; model of your evaporative cooler, select ""Click &amp; Collect"" OR ""Fixed Delivery"" and we will do the rest!</p>
<p><strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of Brivis Filter Pads Suits Contour L53</li>
<li>Front pad (largest) 847 x 618 x 110mm</li>
<li>Part No. Brivis/Rinnai B008327 / 81008327</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatment</li>
</ul>",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,COL3009,12000.0,shopify,14,deny,manual,277.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-16at10.23.04AM.png?v=1717556425,1,"",false,,,,,,,,,,,,,,,kg,,133.00,true,,,true,,,active
pads-pin,PADS pin,<p>Pin for pads 20 pieces</p>,Evaporative Cooler Cooling pads,,"","",true,Title,Default Title,,,,,PIN1001,500.0,shopify,1000,deny,manual,16.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-16at10.09.49AM.png?v=1715818648,1,"",false,,,,,,,,,,,,,,,kg,,3.00,true,,,true,,,active
celair-evaporative-cooler-filcel-pads-suits-model-profile-qp500,Celair Evaporative Cooler FILCEL Pads Suits Model Profile QP500,"<h1 class=""productView-title"">Celair Evaporative Cooler FILCEL Pads Suits Model Profile QP500</h1>",Evaporative Cooler Cooling pads,,"","",true,Title,Default Title,,,,,COL3005,5700.0,shopify,10,deny,manual,210.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-09at1.10.42PM_380848bb-f98f-43b3-917d-6c4ab2e77da8.png?v=1715818504,1,"",false,,,,,,,,,,,,,,,kg,,144.00,true,,,true,,,active
celair-evaporative-cooler-filcel-pads-suits-model-profile-cp850,Celair Evaporative Cooler FILCEL Pads Suits Model Profile CP850,"<h1 class=""productView-title"">Celair Evaporative Cooler FILCEL Pads Suits Model Profile CP850</h1>",Evaporative Cooler Cooling pads,,"","",true,Title,Default Title,,,,,COL3001,7900.0,shopify,44,deny,manual,199.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-09at1.10.42PM.png?v=1715818414,1,"",false,,,,,,,,,,,,,,,kg,,133.00,true,,,true,,,active
evaporative-air-cooler,Evaporative Air Cooler,"<p><span>Bonaire Durango 125i Portable Evaporative Air Cooler - Fan,Humidifier - 125L</span></p>",Evaporative Cooler Cooling pads,,"","",true,Title,Default Title,,,,,EVA1005,22000.0,shopify,7,deny,manual,1199.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-09at2.18.19PM.png?v=1715228355,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
cooling-pad-for-breezair-exh210-es210,Cooling Pad For Breezair EXH210 ES210,<p><span>Evaporative Cooler Cooling Pad - Pack of 4 For Breezair EXH210 ES210 etc</span></p>,Evaporative Cooler Cooling pads,,"","",true,Title,Default Title,,,,,COL2002,8900.0,shopify,40,deny,manual,199.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-09at1.03.33PM.png?v=1715223917,1,"",false,,,,,,,,,,,,,,,kg,,89.00,true,,,true,,,active
cooling-pad-for-breezair-exh170-exd150-es145,Cooling Pad  For Breezair EXH170 EXD150 ES145,"<ul>
<li>1 x 4 Pack of Breezair Filter Pads Suits EXH 170</li>
<li>Size 800 x 635 x 90mm</li>
<li>Seeley PN. 114613</li>
<li>Supplied with fixing pins &amp; washers</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatment</li>
</ul>
<p>Brand new</p>",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,COL2001,8900.0,shopify,33,deny,manual,199.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-09at1.00.23PM.png?v=1715223688,1,"",false,,,,,,,,,,,,,,,kg,,50.00,true,,,true,,,active
